Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Code,Year,GDP-Growth,GDP-Per-Capita,GDP,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,2000,3.92287184229497,24965.5940271221,272175455326.753,Australia,Sydney,Greece,GRE,4,6,3
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,2004,5.6524337201578,29176.3928664896,321534411242.933,Greece,Athens,Greece,GRE,6,6,4
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,2008,-5.4790371077553,26917.7589787254,299361576558.217,China,Beijing,Greece,GRE,0,2,1
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece,GRC,2012,0.739777123496509,22565.6804825426,245794711441.894,Great Britain,London,Greece,GRE,0,0,2
193,GRD,Grenada,Saint George's,North America,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453,1.0066,0.0,Grenada,GRD,2012,7.34407652185287,7747.50073076196,843718324.581439,Great Britain,London,Grenada,GRN,1,0,0
68,GTM,Guatemala,Guatemala City,North America,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,163.8725,1.0134,0.22,Guatemala,GTM,2012,4.17416913658175,3007.95776505106,47896442426.645,Great Britain,London,Guatemala,GUA,0,1,0
164,GUY,Guyana,Georgetown,South America,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01,Guyana,GUY,1980,-13.1901344883581,1770.59167095592,1383267660.56763,Soviet Union,Moscow,Guyana,GUY,0,0,1
104,HKG,Hong Kong,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,"Hong Kong SAR, China",HKG,1996,-5.88262078801661,21241.5347203784,138998230749.74,United States,Atlanta,Hong Kong,HKG,1,0,0
104,HKG,Hong Kong,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,"Hong Kong SAR, China",HKG,2004,7.03258630394375,29446.2837822567,201916112523.313,Greece,Athens,Hong Kong,HKG,0,1,0
104,HKG,Hong Kong,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,"Hong Kong SAR, China",HKG,2012,2.76239445216129,35717.6668450891,258220872456.572,Great Britain,London,Hong Kong,HKG,0,0,1
94,HUN,Hungary,Budapest,Europe,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,107.1431,1.0265,0.12,Hungary,HUN,1992,2.94715455688328,8812.29944926503,91148741570.0527,Spain,Barcelona,Hungary,HUN,11,12,7
